16:29:53.398 > ESP-ROM:esp32s3-20210327
16:29:53.401 > Build:Mar 27 2021
16:29:53.401 > rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
16:30:10.921 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:11.241 > Eth packet: len= 453 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:11.247 > Eth packet: len= 473 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:11.934 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:11.940 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:13.914 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:13.914 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=d8:ec:e5:79:fa:03 Type=0x8899 (Realtek RCP, broadcast)
16:30:13.967 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:13.967 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
16:30:15.241 > Eth packet: len= 453 Dst=01:00:5e:00:00:fb Src=94:db:56:24:13:8e Type=0x0800 (IPv4, IANA Multicast)
16:30:15.247 > Eth packet: len= 473 Dst=33:33:00:00:00:fb Src=94:db:56:24:13:8e Type=0x86dd (IPv6, multicast)
16:30:16.005 > Eth packet: len=  60 Dst=ff:ff:ff:ff:ff:ff Src=24:5e:be:4a:c3:87 Type=0x8874 (BRDCM switch mngmt, broadcast)
